C,P,S,Al,Nb,Ti,ceq,a_temp,r
0.03,0.01,0.004,0.032,0,0,0.318066667,830,1.8
0.028,0.01,0.001,0.032,0.042,0,0.299,830,1.8
0.032,0.01,0.005,0.028,0.035,0.035,0.340666667,830,1.8
0.02,0.01,0.005,0.033,0,0,0.308,830,1.4
0.031,0.01,0.006,0.033,0.045,0,0.318733333,830,1.7
0.029,0.01,0.003,0.032,0.115,0.125,0.321,830,1.8
0.032,0.01,0.004,0.032,0,0,0.319333333,830,0.8
0.02,0.06,0.004,0.032,0,0,0.419733333,850,1.9
0.022,0.03,0.001,0.032,0.042,0,0.438,850,1.9
0.028,0.01,0.005,0.028,0.035,0.035,0.386666667,850,1.8
0.011,0.01,0.003,0.028,0.03,0,0.3074,830,1.9
0.022,0.01,0.002,0.033,0,0.022,0.387,830,1.8
0.019,0.05,0.001,0.032,0,0,0.366666667,830,1.7
0.021,0.06,0.003,0.03,0,0,0.385666667,830,1.7
0.02,0.02,0.002,0.029,0.042,0.01,0.4394,830,1.8
0.007,0.01,0.005,0.029,0,0,0.373266667,830,1.9
0.112,0.01,0.003,0.028,0,0,0.5274,830,0.8
0.021,0.01,0.002,0.033,0,0,0.3626,850,0.8
0.023,0.05,0.001,0.032,0,0,0.474066667,850,1.7
0.021,0.06,0.003,0.03,0.0005,0,0.372466667,850,1.7
0.025,0.04,0.002,0.029,0.325,0,0.3932,850,1.8
0.019,0.05,0.001,0.032,0,0.0005,0.381066667,830,1.7
0.023,0.06,0.003,0.03,0,0.306,0.371266667,850,1.8
0.018,0.01,0.003,0.032,0.001,0.001,0.274,830,0.8
0.021,0.01,0.004,0.032,0,0,0.365133333,830,1.7
0.039,0.01,0.005,0.031,0,0,0.627533333,780,1.1
0.038,0.01,0.001,0.035,0.121,0,0.6006,780,1.3
0.042,0.01,0.006,0.033,0.11,0.152,0.6054,750,1.3
0.041,0.01,0.008,0.032,0,0.064,0.600066667,760,1.2
0.048,0.01,0.005,0.034,0.202,0.005,0.6186,770,1.3
0.04,0.01,0.007,0.036,0.193,0.262,0.698133333,780,1.4
0.038,0.01,0.006,0.033,0.011,0.009,0.594333333,780,0.7
0.043,0.05,0.005,0.032,0.002,0.119,0.712,760,1.3
0.042,0.04,0.009,0.035,0.045,0.053,0.6702,780,1.1
0.048,0.04,0.006,0.036,0.185,0.155,0.661266667,780,1.4
0.042,0.04,0.009,0.035,0,0,0.6436,760,0.8
0.038,0.04,0.006,0.036,0,0,0.755066667,780,1.3
0.038,0.03,0.001,0.034,0.005,0,0.6104,780,1.1
0.039,0.03,0.001,0.035,0.056,0,0.597066667,760,1.3
0.042,0.03,0.001,0.036,0.382,0,0.597066667,780,1.3
0.043,0.03,0.001,0.035,0.453,0,0.6056,780,1.3
0.041,0.03,0.002,0.032,0,0.0005,0.602266667,760,1.1
0.038,0.03,0.002,0.03,0,0.037,0.591333333,760,1.3
0.039,0.04,0.002,0.03,0,0.186,0.606466667,780,1.3
0.042,0.02,0.002,0.029,0,0.356,0.596466667,780,1.4
0.028,0.01,0.003,0.034,0,0,0.313866667,830,1.7
0.03,0.01,0.002,0.035,0.041,0,0.298266667,830,1.7
0.031,0.01,0.005,0.028,0.036,0.033,0.336533333,830,1.7
0.021,0.01,0.005,0.034,0,0,0.312933333,830,1.4
0.032,0.01,0.004,0.033,0.044,0,0.313466667,830,1.6
0.026,0.01,0.003,0.035,0.112,0.122,0.307066667,830,1.7
0.032,0.01,0.005,0.032,0,0,0.313733333,830,0.8
0.021,0.06,0.003,0.03,0,0,0.418666667,850,1.8
0.024,0.04,0.001,0.032,0.033,0,0.445,850,1.8
0.026,0.01,0.004,0.026,0.035,0.032,0.3836,850,1.7
0.02,0.01,0.003,0.028,0.045,0,0.4096,830,1.6
0.012,0.01,0.002,0.033,0,0.018,0.309666667,830,1.7
0.018,0.03,0.004,0.035,0,0,0.382933333,830,1.6
0.02,0.05,0.001,0.031,0,0,0.395333333,830,1.6
0.021,0.02,0.005,0.029,0.038,0.01,0.407666667,830,1.7
0.008,0.01,0.005,0.032,0,0,0.368,830,1.8
0.095,0.01,0.003,0.029,0,0,0.5122,830,0.8
0.023,0.01,0.002,0.03,0,0,0.362733333,850,0.8
0.024,0.03,0.001,0.031,0,0,0.4734,850,1.6
0.022,0.05,0.003,0.029,0.005,0,0.3938,850,1.7
0.023,0.04,0.003,0.027,0.319,0,0.406,850,1.6
