C,Si,Mn,P,S,Al,V,Nb,Ti,a_temp,r
0.03,0.02,1.55,0.01,0.004,0.032,0.132,0,0,830,1.8
0.028,0.02,1.48,0.01,0.001,0.032,0.105,0.042,0,830,1.8
0.032,0.03,1.72,0.01,0.005,0.028,0.085,0.035,0.035,830,1.8
0.02,0.02,1.63,0.01,0.005,0.033,0.065,0,0,830,1.4
0.031,0.02,1.56,0.01,0.006,0.033,0.122,0.045,0,830,1.7
0.029,0.02,1.48,0.01,0.003,0.032,0.21,0.115,0.125,830,1.8
0.032,0.02,1.65,0.01,0.004,0.032,0.045,0,0,830,0.8
0.02,0.22,2.02,0.06,0.004,0.032,0.132,0,0,850,1.9
0.022,0.52,1.85,0.03,0.001,0.032,0.105,0.042,0,850,1.9
0.028,0.33,1.72,0.01,0.005,0.028,0.085,0.035,0.035,850,1.8
0.011,0.21,1.53,0.01,0.003,0.028,0.032,0.03,0,830,1.9
0.022,0.52,1.52,0.01,0.002,0.033,0.125,0,0.022,830,1.8
0.019,0.53,1.43,0.05,0.001,0.032,0.105,0,0,830,1.7
0.021,0.33,1.72,0.06,0.003,0.03,0.115,0,0,830,1.7
0.02,0.41,2.02,0.02,0.002,0.029,0.072,0.042,0.01,830,1.8
0.007,0.35,1.76,0.01,0.005,0.029,0.073,0,0,830,1.9
0.112,0.33,1.74,0.01,0.003,0.028,0.352,0,0,830,0.8
0.021,0.52,1.52,0.01,0.002,0.033,0.008,0,0,850,0.8
0.023,0.53,1.43,0.05,0.001,0.032,0.622,0,0,850,1.7
0.021,0.33,1.72,0.06,0.003,0.03,0.049,0.0005,0,850,1.7
0.025,0.41,1.75,0.04,0.002,0.029,0.041,0.325,0,850,1.8
0.019,0.35,1.76,0.05,0.001,0.032,0.052,0,0.0005,830,1.7
0.023,0.33,1.72,0.06,0.003,0.03,0.033,0,0.306,850,1.8
0.018,0.02,1.48,0.01,0.003,0.032,0.03,0.001,0.001,830,0.8
0.021,0.02,1.65,0.01,0.004,0.032,0.329,0,0,830,1.7
0.039,0.5,2.85,0.01,0.005,0.031,0.151,0,0,780,1.1
0.038,0.75,2.52,0.01,0.001,0.035,0.088,0.121,0,780,1.3
0.042,0.74,2.53,0.01,0.006,0.033,0.092,0.11,0.152,750,1.3
0.041,0.7,2.55,0.01,0.008,0.032,0.087,0,0.064,760,1.2
0.048,0.72,2.52,0.01,0.005,0.034,0.153,0.202,0.005,770,1.3
0.04,0.77,2.55,0.01,0.007,0.036,0.524,0.193,0.262,780,1.4
0.038,0.73,2.56,0.01,0.006,0.033,0.04,0.011,0.009,780,0.7
0.043,0.95,2.95,0.05,0.005,0.032,0.095,0.002,0.119,760,1.3
0.042,0.82,2.78,0.04,0.009,0.035,0.141,0.045,0.053,780,1.1
0.048,0.91,2.73,0.04,0.006,0.036,0.033,0.185,0.155,780,1.4
0.042,0.82,2.78,0.04,0.009,0.035,0.008,0,0,760,0.8
0.038,0.91,2.73,0.04,0.006,0.036,0.552,0,0,780,1.3
0.038,0.76,2.57,0.03,0.001,0.034,0.087,0.005,0,780,1.1
0.039,0.76,2.55,0.03,0.001,0.035,0.032,0.056,0,760,1.3
0.042,0.73,2.49,0.03,0.001,0.036,0.092,0.382,0,780,1.3
0.043,0.75,2.52,0.03,0.001,0.035,0.088,0.453,0,780,1.3
0.041,0.7,2.55,0.03,0.002,0.032,0.098,0,0.0005,760,1.1
0.038,0.71,2.58,0.03,0.002,0.03,0.025,0,0.037,760,1.3
0.039,0.74,2.57,0.04,0.002,0.03,0.079,0,0.186,780,1.3
0.042,0.71,2.51,0.02,0.002,0.029,0.089,0,0.356,780,1.4
0.028,0.02,1.55,0.01,0.003,0.034,0.121,0,0,830,1.7
0.03,0.02,1.46,0.01,0.002,0.035,0.108,0.041,0,830,1.7
0.031,0.03,1.7,0.01,0.005,0.028,0.086,0.036,0.033,830,1.7
0.021,0.02,1.65,0.01,0.005,0.034,0.068,0,0,830,1.4
0.032,0.02,1.52,0.01,0.004,0.033,0.124,0.044,0,830,1.6
0.026,0.02,1.52,0.01,0.003,0.035,0.122,0.112,0.122,830,1.7
0.032,0.02,1.62,0.01,0.005,0.032,0.042,0,0,830,0.8
0.021,0.21,2.02,0.06,0.003,0.03,0.13,0,0,850,1.8
0.024,0.52,1.88,0.04,0.001,0.032,0.105,0.033,0,850,1.8
0.026,0.32,1.72,0.01,0.004,0.026,0.088,0.035,0.032,850,1.7
0.02,0.7,1.55,0.01,0.003,0.028,0.073,0.045,0,830,1.6
0.012,0.21,1.51,0.01,0.002,0.033,0.055,0,0.018,830,1.7
0.018,0.5,1.56,0.03,0.004,0.035,0.108,0,0,830,1.6
0.02,0.39,1.73,0.05,0.001,0.031,0.11,0,0,830,1.6
0.021,0.28,1.95,0.02,0.005,0.029,0.075,0.038,0.01,830,1.7
0.008,0.32,1.75,0.01,0.005,0.032,0.075,0,0,830,1.8
0.095,0.34,1.73,0.01,0.003,0.029,0.361,0,0,830,0.8
0.023,0.49,1.54,0.01,0.002,0.03,0.007,0,0,850,0.8
0.024,0.51,1.47,0.03,0.001,0.031,0.597,0,0,850,1.6
0.022,0.35,1.75,0.05,0.003,0.029,0.109,0.005,0,850,1.7
0.023,0.44,1.78,0.04,0.003,0.027,0.065,0.319,0,850,1.6
0.021,0.35,1.73,0.05,0.001,0.034,0.099,0,0.0005,830,1.7
0.025,0.36,1.77,0.05,0.002,0.032,0.321,0,0.321,850,1.7
0.02,0.02,1.51,0.01,0.003,0.033,0.035,0.001,0.001,830,0.8
0.023,0.02,1.66,0.01,0.003,0.035,0.308,0,0,830,1.7
0.038,0.48,2.88,0.01,0.004,0.033,0.158,0,0,780,1.1
0.041,0.77,2.51,0.01,0.001,0.035,0.056,0.171,0,780,1.4
0.038,0.72,2.54,0.01,0.009,0.033,0.085,0,0.058,760,1.4
0.049,0.74,2.53,0.01,0.006,0.036,0.039,0.075,0.005,770,1.3
0.039,0.75,2.55,0.01,0.007,0.035,0.183,0.191,0.26,780,1.5
0.046,0.73,2.57,0.01,0.007,0.038,0.011,0.013,0.015,780,0.8
0.039,0.93,2.95,0.05,0.004,0.039,0.016,0.003,0.108,760,1.3
0.041,0.8,2.8,0.05,0.009,0.033,0.138,0.042,0.065,780,1.1
0.047,0.92,2.78,0.04,0.006,0.034,0.025,0.175,0.143,780,1.4
0.043,0.84,2.76,0.04,0.007,0.034,0.007,0,0,760,0.8
0.038,0.93,2.75,0.04,0.006,0.035,0.553,0,0,780,1.4
0.042,0.8,2.65,0.02,0.003,0.031,0.096,0.0005,0,780,1.1
0.041,0.81,2.68,0.02,0.003,0.03,0.029,0.065,0,760,1.3
0.043,0.78,2.67,0.03,0.003,0.029,0.087,0.295,0,780,1.3
0.041,0.77,2.69,0.02,0.002,0.03,0.079,0.521,0,780,1.4
0.039,0.76,2.74,0.03,0.003,0.031,0.105,0,0.0005,760,1.1
0.043,0.79,2.74,0.02,0.004,0.033,0.035,0,0.042,760,1.2
0.04,0.8,2.75,0.03,0.002,0.032,0.087,0,0.182,780,1.3
0.038,0.81,2.77,0.02,0.003,0.032,0.089,0,0.29,780,1.3
0.029,0.03,1.68,0.008,0.003,0.032,0.149,0.005,0.002,835,1.8
0.031,0.026,1.581,0.009,0.003,0.032,0.142,0.013,0.001,827,1.8
0.028,0.023,1.467,0.008,0.003,0.031,0.134,0.019,0.003,825,1.8
0.026,0.01,1.464,0.008,0,0.032,0.078,0.048,0,826,1.8
0.026,0.037,1.578,0.01,0.001,0.032,0.106,0.05,0,830,1.8
0.029,0,1.526,0.01,0.001,0.031,0.114,0.041,0,829,1.8
0.028,0.01,1.74,0.012,0.005,0.028,0.096,0.038,0.028,831,1.8
0.031,0.008,1.818,0.007,0.004,0.028,0.107,0.047,0.031,830,1.8
0.031,0.01,1.75,0.011,0.004,0.028,0.092,0.016,0.043,833,1.8
0.02,0.056,1.491,0.011,0.005,0.033,0.056,0.013,0.004,824,1.4
0.019,3.61E+00,1.674,0.011,0.005,0.032,0.062,0.01,0,827,1.4
0.019,0.007,1.641,0.012,0.005,0.033,0.055,0.006,0.004,829,1.4
0.03,0,1.554,0.007,0.006,0.032,0.12,0.041,0.001,832,1.7
0.032,0.022,1.622,0.009,0.005,0.032,0.107,0.055,0,831,1.7
0.031,0.048,1.521,0.011,0.005,0.032,0.137,0.037,0,829,1.7
0.028,0.029,1.489,0.009,0.003,0.031,0.227,0.123,0.129,826,1.8
0.03,0.02,1.472,0.008,0.003,0.032,0.212,0.1,0.115,831,1.8
0.028,0.04,1.465,0.012,0.002,0.032,0.212,0.112,0.14,828,1.8
0.033,0.026,1.739,0.012,0.003,0.032,0.016,0.018,0.008,828,0.8
0.032,0.009,1.584,0.008,0.003,0.031,0.046,0.013,0.019,832,0.8
0.032,0.018,1.605,0.006,0.004,0.031,0.032,0.006,0,836,0.8
